Week,Role,Inventory,Incoming Shipping,Week,Role,Order Quantity,Demand,Excess Inventory,Backorder,Holding Cost,Backorder Cost,Total Cost,username,approach
0,Retailer,10,"[(5, 1)]",0,Retailer,,,,,,,0,Simran,Full Gen-AI
1,Retailer,10,"[(20, 2)]",1,Retailer,20.0,10.0,5.0,0.0,5.0,0.0,5,Simran,Full Gen-AI
2,Retailer,5,"[(45, 3)]",2,Retailer,45.0,14.0,11.0,0.0,11.0,0.0,16,Simran,Full Gen-AI
3,Retailer,11,"[(20, 4)]",3,Retailer,20.0,14.0,42.0,0.0,42.0,0.0,58,Simran,Full Gen-AI
4,Retailer,42,"[(20, 5)]",4,Retailer,20.0,13.0,49.0,0.0,49.0,0.0,107,Simran,Full Gen-AI
5,Retailer,49,"[(20, 6)]",5,Retailer,20.0,14.0,55.0,0.0,55.0,0.0,162,Simran,Full Gen-AI
6,Retailer,55,"[(15, 7)]",6,Retailer,15.0,11.0,64.0,0.0,64.0,0.0,226,Simran,Full Gen-AI
7,Retailer,64,"[(20, 8)]",7,Retailer,20.0,11.0,68.0,0.0,68.0,0.0,294,Simran,Full Gen-AI
8,Retailer,68,"[(20, 9)]",8,Retailer,20.0,12.0,76.0,0.0,76.0,0.0,370,Simran,Full Gen-AI
9,Retailer,76,"[(25, 10)]",9,Retailer,25.0,11.0,85.0,0.0,85.0,0.0,455,Simran,Full Gen-AI
10,Retailer,85,"[(20, 11)]",10,Retailer,20.0,9.0,101.0,0.0,101.0,0.0,556,Simran,Full Gen-AI
