Week,Role,Inventory,Incoming Shipping,Week,Role,Order Quantity,Demand,Excess Inventory,Backorder,Holding Cost,Backorder Cost,Total Cost,username,approach
0,Retailer,10,"[(5, 1)]",0,Retailer,,,,,,,0,Simran,Full Gen-AI
1,Retailer,10,"[(50, 2)]",1,Retailer,50.0,10.0,5.0,0.0,5.0,0.0,5,Simran,Full Gen-AI
2,Retailer,5,"[(50, 3)]",2,Retailer,50.0,11.0,44.0,0.0,44.0,0.0,49,Simran,Full Gen-AI
3,Retailer,44,"[(50, 4)]",3,Retailer,50.0,12.0,82.0,0.0,82.0,0.0,131,Simran,Full Gen-AI
4,Retailer,82,"[(50, 5)]",4,Retailer,50.0,13.0,119.0,0.0,119.0,0.0,250,Simran,Full Gen-AI
5,Retailer,119,"[(50, 6)]",5,Retailer,50.0,12.0,157.0,0.0,157.0,0.0,407,Simran,Full Gen-AI
6,Retailer,157,"[(15, 7)]",6,Retailer,15.0,12.0,195.0,0.0,195.0,0.0,602,Simran,Full Gen-AI
7,Retailer,195,"[(50, 8)]",7,Retailer,50.0,9.0,201.0,0.0,201.0,0.0,803,Simran,Full Gen-AI
8,Retailer,201,"[(10, 9)]",8,Retailer,10.0,13.0,238.0,0.0,238.0,0.0,1041,Simran,Full Gen-AI
9,Retailer,238,"[(50, 10)]",9,Retailer,50.0,9.0,239.0,0.0,239.0,0.0,1280,Simran,Full Gen-AI
10,Retailer,239,"[(30, 11)]",10,Retailer,30.0,10.0,279.0,0.0,279.0,0.0,1559,Simran,Full Gen-AI
